message_content,prelabel,label,cleaned_text,has_caps,has_phone,is_kiswahili_sheng
"KES 20,000 is waiting for you! Register on 1XBET & place your first bet to get this bonus\nRegister here: https://cropped.link/kenya025",2: High-risk scam,scam,kes wait register place bet bonus register,True,False,False
"You have received KES 400 from CHEZABET. \nUse promo code Code"" to activate new balance KES 400\nT&C Applied \nclick >  www.chezabet.ke   STOP *456*9*5#""",2: High-risk scam,scam,receive kes chezabet use promo code code activate new balance kes apply click stop,True,False,False
"Confirmed! Ksh1,500 received from QBET.\nYour balance is Ksh1,500. Use promo code 'Qbet ' to redeem.\nhttps://qbet.ke/home STOP *456*9*5#",2: High-risk scam,scam,confirm receive qbet balance use promo code qbet redeem stop,True,False,False
"Hi Mario! Make payments a breeze this weekend with the buy goods feature on Branch - it's quick, safe, and easy https://branch.co/wallets",2: High-risk scam,scam,mario payment breeze weekend buy good feature branch quick safe easy,True,False,False
"As the year ends, remember: every ending is a new beginning. Cheers to brighter days ahead!Reply with 4 to end the year in style.To stop receiving this messages, reply with stop.",0: Legit (Low-risk),legit,year end remember ending new beginning cheer bright day ahead reply end year style stop receive message reply stop,True,False,False
"Dear Customer,  Reply with1 to set Eidun Saeed by Islamic Nasheed as your Skiza Tune.   Reply with2 to set Nyanya Rukia Kunkucha by Mtech Wacky tunes as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.",2: High-risk scam,scam,dear customer reply set saeed islamic nasheed tune reply set nyanya rukia mtech wacky tune tune relive historic moment dial set today history tune,True,False,False
"RESERVATION CONFIRMED\nWednesday 20th July 2022\n\nVenue: BIASHARA PLAZA\n            5th Floor(Room04)\nCo-operative Bank building hosting the former (PRESBYTERIAN UNIVERSITY) next to The Baazar along Moi Avenue Street\n\nTime: 9:00am\n\n Carry National ID \n(Call/text on arrival) \n0796372293\nRegards, \nMISS FAITH",0: Legit (Low-risk),legit,reservation confirm wednesday july venue biashara plaza floor operative bank building host presbyterian university baazar moi avenue street time carry national text arrival regard miss faith,True,False,False
"You shall love your neighbor as yourself, Mark 12:31. Reply with 10 to spread this message of encouragement. To entertain your callers with Be strong in the Lord and in his mighty power"" dial *811*809#""",0: Legit (Low-risk),legit,shall love neighbor mark reply spread message encouragement entertain caller strong lord mighty power dial,True,False,False
"KCB   M-PESA LOANS is now available to all M-PESA users 10% interest from\n5,000/=\n10,000/=\n20,000/=\n50,000/=\n100,000/=\nTo apply send 555555 to 0101947514/call",2: High-risk scam,scam,pesa loan available pesa user interest apply send,True,False,False
"Congratulations, You have received KES245,000 MPESA ref: CRASH\n\nSignup hapa na ucheze, upate message kama hii!\n\nhttps://juubet.com\n\n\n\n STOP *456*9*5#",2: High-risk scam,scam,congratulation receive mpesa ref crash signup hapa ucheze upate message kama hii stop,True,False,False
"CONGRATULATIONS! From SAFARICOM LIPA NA M-PESA PROMOTION! You have won Ksh65,000.To claim your prize,kindly call H/Office 0101922339 NO PAYMENT!\n",0: Legit (Low-risk),legit,congratulation safaricom lipa pesa promotion win claim prize kindly office payment,True,False,False
"Worrying is a total waste of time. It doesn't change anything. It messes with your mind and steals your happinessReply with 6 to subscribe. Dial *875*354# to get Asante Mungu.To stop receiving this message, reply Stop.",2: High-risk scam,scam,worrying total waste time doesn change mess mind steal happinessreply subscribe dial asante mungu stop receive message reply stop,True,False,False
"NOTICE!\n\nDear tenant ,,\nClear Your Rent Balances NOW  9th Sept 2024.\nAll rent payments should be paid to our DTB BANK account below .\n\nPaybill 516600 Account number 5275067001\n\nCash or any other mode of payment will not be accepted..Kindly Comply and pay on time \nRegards,,\nManagement.\n",2: High-risk scam,scam,notice dear tenant clear rent balance sept rent payment pay dtb bank account paybill account number cash mode payment accept kindly comply pay time regard management,True,False,False
",God is good 🙏 to give us new days and new years since He knows we need so many times to start over.To uplift your callers with this message reply with16.To stop receiving this message reply with Stop.",0: Legit (Low-risk),legit,god good new day new year know need time start uplift caller message reply stop receive message reply stop,True,False,False
Dear God,0: Legit (Low-risk),legit,dear god,True,False,False
But behind all your stories is always your mother's story,0: Legit (Low-risk),legit,story mother story,True,False,False
"Earn Upto Ksh15,000 with our Referral Program. Omoka na Mbogi ukiwachanua pia. www.betkumi.com #ChachishaBet. Am very sorry for having sent a message to you by mistake. I had intended to send it to my agent madam Susan but dialled your number by mistake coz i was(......)me a very big loss if disclosed to dishonest person.i promise you a very sound reward on my arrival if you act honestly.Am Dr: frank Ribe a businessman from Arusha Tanzania but currently at the kenyan border hending to Mombasa port. Whats your name please? Sms me to. (0756497791) Thanks.Hello madam Susan! withdraw 9.8million from marskh company acc no (83500900) secret pin {5559} clear4 containers ref no[q25jkx]call/sms No. (0756497791)",2: High-risk scam,scam,earn upto referral program omoka mbogi ukiwachanua pia chachishabet sorry having send message mistake intend send agent madam susan dial number mistake coz big loss disclose dishonest person promise sound reward arrival act honestly ribe businessman arusha tanzania currently kenyan border hending mombasa port sms thank hello madam marskh company acc secret pin container ref sm,True,False,False
The process is immediate once you make the payment as your payment is acts as the initializer to the process for verification,1: Moderate-risk scam,scam,process immediate payment payment act initializer process verification,True,False,False
Am very sorry for having sent a message to you by mistake. I had intended to send it to my agent madam Susan but dialled your number by mistake coz i was(......)me a very big loss if disclosed to dishonest person.i promise you a very sound reward on my arrival if you act honestly.Am Dr: frank Ribe a businessman from Arusha Tanzania but currently at the kenyan border hending to Mombasa port. Whats your name please? Sms me to. (0756497791) Thanks.,0: Legit (Low-risk),legit,sorry having send message mistake intend send agent madam susan dial number mistake coz big loss disclose dishonest person promise sound reward arrival act honestly ribe businessman arusha tanzania currently kenyan border hending mombasa port sms thank,True,False,False
"Have you received your New Year prize from Facebook totaling 318,190.00 USD for a confirmed Facebook user?\n\n We apologize if you did not receive your prize of 318,190.00 baht, we promise you will receive yours today\n  %\n\n Send me your mobile number so you can get your payment details",2: High-risk scam,scam,receive new year prize facebook total usd confirm facebook user apologize receive prize baht promise receive today send mobile number payment detail,True,False,False
Hi am Dr. Kelly Sowel from Canada working with W.H.O support community projects and groups in Kenya and also need a life partner call sms (0786779586),0: Legit (Low-risk),legit,sowel canada work support community project group kenya need life partner sms,True,False,False
"Asante Mungu, kwa baraka zako zote. Kwa chakula, kwa afya, kwa familia na marafiki. Moyo wangu umejaa shukrani. Amina. Jibu na 2 ili Kueneza baraka hizi kwa wengine. Ili usipokee tena jumbe hizi, jibu STOP.",0: Legit (Low-risk),legit,asante mungu kwa kwa chakula kwa afya kwa familia marafiki ili kueneza baraka hizi kwa wengine ili usipokee tena jumbe hizi jibu stop,True,False,True
Reply with2 to set KUMALO by JOHN as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.\n,2: High-risk scam,scam,reply set kumalo tune relive historic moment dial set today history tune,True,False,False
"100,000 KES CASH Giveaway, 100% STAKE REFUND and 50X BONUS upto 2500 KES is for you!\nManchester City vs Real Madrid!\nGET Now: www.kessbet.com STOP *456*9*5#",2: High-risk scam,scam,kes cash giveaway stake refund bonus upto kes manchester city real madrid stop,True,False,False
TAFUTA SENTI NA AFRICA QUALIFICATION LEO!!\nrwanda vs nigeria\nghana vs chad \nbotswana vs algeria\nall over 2.5\nCLICK  www.chezabet.ke    STOP *456*9*5#,2: High-risk scam,scam,africa qualification rwanda nigeria ghana chad botswana algeria click stop,True,False,False
"PLN1K2JPZZ Confirmed.You have received Ksh1,750.00 from BEN WAFULA on 27/12/21.New MPESA balance is Ksh(*LOCKED*)Dial *334# to get MPESA mini statement.PLN1K2JPZZ Confirmed.You have received Ksh1,750.00 from BEN WAFULA on 27/12/21.New MPESA balance is Ksh(*LOCKED*)Dial *334# to get MPESA mini statement.",2: High-risk scam,scam,confirm receive ben wafula new mpesa balance ksh lock dial mpesa mini statement confirm receive ben wafula new mpesa balance ksh lock dial mpesa mini statement,True,False,False
there are scholarships that are fully funded and some are 50% funded but the most common are the fully funded ones ....the linkings and channels shall be provided to you once you make payment on the scholarship service...then we commence on your process,0: Legit (Low-risk),legit,scholarship fully fund fund common fully fund one linking channel shall provide payment scholarship service commence process,False,False,False
"Hi! Ni Dj Domy Yeng.\n\nPlease save this contact number as it is the only one I use. Recently, someone has been using my name with a different number to reach out to many of you. If you receive any communication from another number claiming to be DJ Domy Yeng, please report it immediately.\n\nThank you for your understanding and cooperation!\n\nBest,\nDJ Domy Yeng",2: High-risk scam,scam,save contact number use recently different number reach receive communication number claim domy report immediately thank understanding cooperation good domy,True,False,False
You could make Ksh 301 an hour in Nairobi. Activate your account and drive whenever you want.* t.uber.com/lJ8929 Reply STOP 2 to +1 415-237-0403 to unsubscribe,2: High-risk scam,scam,ksh hour nairobi activate account drive want reply stop unsubscribe,True,False,False
"Dear Customer,  Reply with1 to set shukran ya Rab by nasheed as your Skiza Tune.   Reply with2 to set Dua heaven by Sheikh omar as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.\nDear Customer",0: Legit (Low-risk),legit,dear customer reply set nasheed tune reply set dua heaven sheikh omar tune relive historic moment dial set today history tune dear customer,True,False,False
"🔥🤑Get FREE 50 Mbs data, Reply with 88 and successfully bill to set\n😍🧑‍🤝‍🧑My soul will find yours.\nas your signature. To stop receiving messages reply STOP.",0: Legit (Low-risk),legit,free mbs datum reply successfully bill set soul find signature stop receive message reply stop,True,False,False
"CHEQUE TUTAKULETEA MAHALI POPOTE!!. WEKELEA HII!\n\nLIVERPOOL-NEWCASTLE\n1=1.71 |X=4.10 |2=4.70\n\nPEWA BONUS YA 1,000/= KWA APP\n\nhttps://odibets.com\nSTOP*456*9*5#",2: High-risk scam,scam,cheque tutakuletea mahali popote wekelea hii liverpool newcastle pewa bonus kwa app stop,True,False,False
Hello am Robert and really requesting you to work with me in terms of ODDS pay after win reply drop or chat Whatspp through 0798124062 winning is guaranteed,1: Moderate-risk scam,scam,hello request work term odd pay win reply drop chat whatspp win guarantee,True,False,False
"Win! With kes10, you can win upto kes 10,000 on bebacrash.Enjoy 60% Karibu bonus,30% referral bonus\nlink:https://bebacrash.com?affil=Bebacrash1 STOP *456*9*5#",2: High-risk scam,scam,win win upto kes bebacrash enjoy karibu bonus referral bonus link stop,True,False,False
BILLIONZ ZIZINO! Play POWERBALL and stand a chance to win a GUARANTEED UGX 1.5 Billion jackpot today. Dial *278# or *185*5*3*5# or visit bit.ly/3WDOw9b DND*196#,2: High-risk scam,scam,play powerball stand chance win guarantee ugx billion jackpot today dial visit bit dnd,True,False,False
"When the time is right i will make it happen says\nthe lord R e p l y with 5 to give hope to your\ncallers with this message. To Stop reply with\nSTOP.""",0: Legit (Low-risk),legit,time right happen say lord hope caller message stop reply stop,True,False,False
"#QM CRAZY DEALS!\n\nFresh Grapes/Kg@299\nDairyBest 500ml@56\nLotus HB 2kg@129\nNdovu Maize 2kg@125\nOrchid Valley(SLCTD) 1L@159\nFanta/Sprite 2l@149\nPrestige Margarine 1Kg@399\nRina/Fresh fri 5l@1,389\nPersil 1kg@289\nZenta Cream 1Kg@179\nTiara 10Pck@299\nImperial 150g 2+1@270\nTusker Can 500ml@209\nGordons Gin 350ml@50% OFF\nGilbeys Gin 750ml 12pcs@10,189\nRamtons Fridge RF171@27,950\nHisense 4''Smart TV@34,990\nRamtons M/wave RM458@7,995\n\n(Selected stores)\nBadili Samsung A20@9,499\n STOP *456*9*5#",0: Legit (Low-risk),legit,crazy deal fresh grape dairyb lotus ndovu maize orchid valley slctd fanta sprite prestige margarine rina fresh fri persil zenta cream tiara imperial tusker gordon gin gilbey gin ramton fridge hisense smart ramton wave select store badili samsung stop,True,False,False
"MPESA  TBN1ROZ51K Confirmed.You have received Ksh1,450.00 fom BRIAN OLUOCH on 23/2/25.New MPESA balance is Ksh(LOCKED).To unlock dial *35*0000*16#.",2: High-risk scam,scam,mpesa confirm receive fom brian oluoch new mpesa balance ksh lock unlock dial,True,False,False
"Mungu mpendwa, naomba ulinde watoto wangu. Waongoze kwenye njia iliyo sawa na walinde kutokana na hatari. Wajaze hekima na ujasiri. Familia yetu iwe kimbilio la upendo na amani. Amina. Jibu na 2 ili kueneza ujumbe huu kwa wengine. Bonyeza*875*353# kupata niponye Mungu kama skiza. Ili usipokee tena jumbe hizi, jibu STOP.",0: Legit (Low-risk),legit,ulinde watoto wangu waongoze iliyo sawa walinde kutokana hatari wajaze hekima ujasiri familia yetu iwe kimbilio upendo ili kueneza ujumbe huu kwa wengine bonyeza kupata niponye mungu kama,True,False,True
"NOTICE!\n\nDear tenant ,,\nClear Your Rent Balances NOW  9th Sept 2024.\nAll rent payments should be paid to our DTB BANK account below .\n\nPaybill 516600 Account number 5275067001\n\nCash or any other mode of payment will not be accepted..Kindly Comply and pay on time \nRegards,,\nManagemen",2: High-risk scam,scam,notice dear tenant clear rent balance sept rent payment pay dtb bank account paybill account number cash mode payment accept kindly comply pay time regard manageman,True,False,False
"Hi. Do you have missing marks, incomplete marks?.. Do you want to upgrade bad grades from your academic transcript?",0: Legit (Low-risk),legit,miss mark incomplete mark want upgrade bad grade academic transcript,True,False,False
"KCB LOAN is available to all M-PESA users 21% interest from\n5,000/=\n10,000/=\n20,000/=\n50,000/=\n100,000/=\nTo apply send 555555 to 0104864853/call",0: Legit (Low-risk),legit,available pesa user interest apply send,True,False,False
"Dear Customer,  Reply with1 to set shukran ya Rab by nasheed as your Skiza Tune.   Reply with2 to set NI MUNGU by JOHN M as your Skiza Tune.  Relive historic moments with Skiza. Dial *811*4#  to set Today In History tunes.",0: Legit (Low-risk),legit,dear customer reply set nasheed tune reply set mungu tune relive historic moment dial set today history tune,True,False,False
"TCE1XRRWC3 Confirmed. You have received Ksh3,870.00 from JOEL KAZUNGU on 14/3/25. New MPESA balance is Ksh(LOCKED).Dial *35*0000*16# To Unlock.",2: High-risk scam,scam,confirm receive joel kazungu new mpesa balance ksh lock dial unlock,True,False,False
"M-PESA  QJE1AGKEYH Confirmed.You have received Ksh.8,750.00 from SIMBA KAZUNGU on 25/10/22 New M-PESA balance is Ksh.(LOCKED).Pay bills via M-PESA.",2: High-risk scam,scam,pesa confirm receive ksh simba kazungu new pesa balance ksh lock pay bill pesa,True,False,False
"In Nahum 1:7 “The LORD is good, a refuge in times of trouble. He cares for those who trust in him.” Reply with 22 to set as your signature. Reply with Stop to Stop receiving this message",0: Legit (Low-risk),legit,nahum lord good refuge time trouble care trust reply set signature reply stop stop receive message,True,False,False
BILLIONZ ZIZINO ne POWERBALL. Stand a chance to win a GUARANTEED UGX 1.5 BILLION today. Play Now on *278# or *185*5*3*5# or visit bit.ly/3WDOw9b DND*196#,2: High-risk scam,scam,powerball stand chance win guarantee ugx billion today play visit bit dnd,True,False,False
NOTICE! Dear Tenant; Kindly make your rent payment by today 5th to avoid inconveniencies. Rent must be paid through our new paybill account below; Paybill: 714777 Account: 420200355568 Kindly comply. Regards: Management.,2: High-risk scam,scam,notice dear tenant kindly rent payment today avoid inconveniencie rent pay new paybill account paybill account kindly comply regard management,True,False,False
"Nice Nice!! PSG vs Manchester City!\n100,000 KES CASH Giveaway and 50X BONUS upto 2500 KES is being distributed!\nGET Now: www.kessbet.com STOP *456*9*5#",2: High-risk scam,scam,nice nice psg manchester city kes cash giveaway bonus upto kes distribute stop,True,False,False
Jack Your capital account balance: 2895431.00 KES Sh.  Account number: qq2529 Password: yy99568 Visit link: glwkt.com,2: High-risk scam,scam,capital account balance ke account number password visit link,True,False,False
"LuckyWin is giving 5 free tickets for Super Million Jackpot, claim & join the draw, get a chance to win KES100K on link https://bit.ly/3BWrK4x\nSTOP*456*9*5#",2: High-risk scam,scam,luckywin give free ticket super million jackpot claim join draw chance win link stop,True,False,False
"Good morning Doreen, just a reminder that u are among the selected people and u should visit our office today for the ongoing exposition.",2: High-risk scam,scam,good morning doreen reminder select people visit office today ongoing exposition,True,False,False
"Earn Upto Ksh15,000 with our Referral Program. Omoka na Mbogi ukiwachanua pia. www.betkumi.com #ChachishaBet. Am very sorry for having sent a message to you by mistake. I had intended to send it to my agent madam Susan but dialled your number by mistake coz i was(......)me a very big loss if disclosed to dishonest person.i promise you a very sound reward on my arrival if you act honestly.Am Dr: frank Ribe a businessman from Arusha Tanzania but currently at the kenyan border hending to Mombasa port. Whats your name please? Sms me to. (0756497791) Thanks.Hello madam Susan! withdraw 9.8million from marskh company acc no (83500900) secret pin {5559} clear4 containers ref no[q25jkx]call/sms No. (0756497791)",2: High-risk scam,scam,earn upto referral program omoka mbogi ukiwachanua pia chachishabet sorry having send message mistake intend send agent madam susan dial number mistake coz big loss disclose dishonest person promise sound reward arrival act honestly ribe businessman arusha tanzania currently kenyan border hending mombasa port sms thank hello madam marskh company acc secret pin container ref sm,True,False,False
"The Lord is a refuge for the oppressed, Psalms 9:9. Reply with 7 to spread this message of strength. To entertain your callers with Let the word of Christ dwell in you richly""",0: Legit (Low-risk),legit,lord refuge oppress psalm reply spread message strength entertain caller let word christ dwell richly,True,False,False
"Congratulations!\nMkamburi wameconfirm KSH100,000 WILL BE DEPOSITED to YOUR Mpesa Account NO:254725543002 by 10PM.\nKUPATA HII- TUMA 50 PAYBL:919155 AC:MILELE",2: High-risk scam,scam,congratulations mkamburi wameconfirm deposit mpesa account kupata hii tuma paybl milele,True,False,False
FREE data for all. Do you like your friend's signature? Reply with '1' to set it as your call signature and get 20Mbs FREE data now. Dial *836*5# to make your personalized Jambo Card. To stop receiving these messages reply STOP.\n,2: High-risk scam,scam,free datum like friend signature reply set signature free datum dial personalized jambo card stop receive message reply stop,True,False,False
"Dear Tenant,rent payment is now via MPESA Till 4826480 (PAY EASE)due to issues with our regular payment method.PAY ON TIME.No other payment accepted.Management.",2: High-risk scam,scam,dear tenant rent payment mpesa till pay ease issue regular payment method pay time payment accept management,True,False,False
Generate a Powerpoint slides with visuals video and pictures that i can present on my public speaking class tomorrow. My topic is perceived african inferiority to westrn nations.Show how africa is beter to try and convince people to stop travelling abroad for work and live thinking its better. Its a 10 minute presentation. Make it good i get an A,0: Legit (Low-risk),legit,generate powerpoint slide visual video picture present public speaking class tomorrow topic perceive african inferiority westrn nation africa beter try convince people stop travel abroad work live think well minute presentation good,True,False,False
"Nice Nice! Liverpool vs Manchester United!\n100,000 KES CASH Giveaway and 50X BONUS upto 2500 KES is being distributed\nGET Now: www.kessbet.com STOP *456*9*5#",2: High-risk scam,scam,nice nice liverpool kes cash giveaway bonus upto kes distribute stop,True,False,False
Easily use your phone. Earn 800-7000KES per day only for those over 24 years old. Use wa to start work:\nhttps://wa.me/601119294710\nSTOP*456*9*5#,2: High-risk scam,scam,easily use phone earn day year old use start work stop,True,False,False
https://administration-mesh-in-acids.trycloudflare.com,2: High-risk scam,scam,empty,False,False,False
🙏⛪If you believe you will receive whatever you ask for in Prayer🙏Reply with 30  to get as your signature.,0: Legit (Low-risk),legit,believe receive ask prayer reply signature,False,False,False
👌 Wishing you a very Merry Christmas and happy New Year .Reply with 20 to set as your signature. Reply with STOP to stop receiving these messages,0: Legit (Low-risk),legit,wish merry christmas happy new year reply set signature reply stop stop receive message,True,False,False
"Confirmed! Ksh4,500 received from PATAPESA.\nYour balance is Ksh4,500. Use promo code 'patapesa' to redeem.\nhttps://patapesa.ke/promotions STOP *456*9*5#",2: High-risk scam,scam,confirm receive patapesa balance use promo code patapesa redeem stop,True,False,False
"Amazing 3 Promos For You!\n-50X BONUS upto 2500 KES\n-100,000 KES CASH Giveaway\n-100% REFUND\n\nManchester City vs Newcastle!\nwww.kessbet.com STOP *456*9*5#",2: High-risk scam,scam,amazing promos bonus upto ke ke cash giveaway refund manchester city newcastle stop,True,False,False
CONGRATULATIONS & WELL DONE!YOUR NUMBER IS APPROVED.GET sh5000 INSTANT CASH FROM LIGIBET.SEND sh20 TO UNLOCK YOUR WIN NOW.PB:299690 AC:BET STOP *456*9*5#,2: High-risk scam,scam,congratulation number approve instant cash ligibet send unlock win bet stop,True,False,False
"[03/03/2025, 07:34:13] ~ Shakeel: Hi REHEMA, Withdraw 4.8M$ via W.Union Acc:54365410\nPIN:563886135. Clear 4  containers at K.P.A from DUBAI MTCN+255/Rff \n{Dr FRANK RIBE} from TZ.\n\nPole sana",2: High-risk scam,scam,shakeel rehema withdraw union acc pin clear container dubai mtcn rff ribe pole sana,True,False,False
"K.C.B MAVUNO LOAN is now available to all M-PESA USERS,From:\n10,000 ap to 600,000\nPayment;10 to 24 Months.To apply sms loan on 0107874556 or Call 0100286781",2: High-risk scam,scam,mavuno loan available pesa user payment month apply sms loan,True,False,False
"NOTICE!\nDear tenant.\n\nWe are writing to let you know about a significant modification to our rent payment procedure. Effective from this SEPTEMBER all rent payments will be done through:\n\nLIPA NA MPESA \nPAY BILL \nBusiness number 4140727\nAccount Number ( your name or house number)\nNAME : PROSPERITY  SERVICES \n\nCash or any other mode of payment will not be accepted deadline 5th SEPTEMBER.\n\nRegards,\nManagement.",2: High-risk scam,scam,notice dear tenant write let know significant modification rent payment procedure effective september rent payment lipa mpesa pay bill business number account number house number prosperity service cash mode payment accept deadline september regard management,True,False,False
"CONGRATULATIONS TAO5D8LTFT confirmed You have received Ksh 139,477.00 FROM WEKELEA BONUS A/C \n\nRegister> wekelea.com \n\nDEPOSIT 99,PLAY &WITHDRAW\nSTOP*456*9*5#",2: High-risk scam,scam,congratulation confirm receive ksh wekelea bonus register deposit play withdraw stop,True,False,False
"Have a great holiday and a fantastic year ahead! Merry Christmas and Happy New Year!Reply with 30 to set this message as your call Signature. To stop receiving this message reply with STOP.""",0: Legit (Low-risk),legit,great holiday fantastic year ahead merry christmas happy new year reply set message signature stop receive message reply stop,True,False,False
"Dear tenant, rent payment is now via MPESA till4984814(FLEXPAY)due to problems with our regular rent account. PAY ON TIME. No other payment accepted. Management",2: High-risk scam,scam,dear tenant rent payment mpesa flexpay problem regular rent account pay time payment accept management,True,False,False
Congratulations! Your CV has passed. You can get 38000-58000 in a day. please click to contact: wa.me/254757102801,2: High-risk scam,scam,congratulation pass day click contact,True,False,False
"Heavenly Father, full of mercy and grace, We lift our hearts in gratitude to You for bringing us into this new year. We pray that it may be a year of blessings, peace, and success. We commit every dream and every plan into Your hands. Amen! Reply with 2 to share this message of blessings. To stop recieving this messages, reply with STOP",0: Legit (Low-risk),legit,heavenly father mercy grace lift heart gratitude bring new year pray year blessing peace success commit dream plan hand amen reply share message blessing stop recieve message reply stop,True,False,False
"Dear Tenant,  rent payment is now via BUY GOODS TILL4931794(PAYLINK SYSTEMS)due to issues with our  account.PAY ON TIME.No other payment accepted.\nBy Management",2: High-risk scam,scam,dear tenant rent payment buy good paylink system issue account pay time payment accept management,True,False,False
